ID,Title,Classification,Resp Group,Prim Resp,Initial Resp Group,Resolved By,Type Category,Service Category,Service,Description
20427171,Trouble connecting to network from remote location (new home),Incident,Desktop Support - Faculty/Staff,Raymond Ransome,Service Desk,Raymond Ransome,Systems and Networking,Networking/WiFi,Wireless Network Access,"President Christian moved into his new residence this weekend and has asked me to contact you regarding internet access for his computer at the new house. His son set both up both the president’s and Mrs. Christian's yesterday. Both computers are old enough that they do not have integrated internet access. They picked up a USB add-on for Sandy's which is working. They didn't think they should do so with a college computer without consulting with IT, and wondered whether maybe you have USB add-ons in inventory"
20101572,Word Requires a Password,Incident,Desktop Support - Faculty/Staff,Raymond Ransome,Service Desk,Raymond Ransome,Desktop Support,None,None,"I have a SUNY New Paltz-issued laptop computer. When I try to use Word I get a message saying that none of the features are available. It seems to be an issue of a password from the system administrator. What is the best way for me to get Word to work again? 
 


 
 
I'd also like to obtain Adobe pdf editing software for the laptop.

 
 
 


 
 
 
 
Best wishes, 
 
Rennie 
 


 
 
Reynolds J. Scott-Childress 
 
Department of History 
 
SUNY New Paltz

 
 
scottchr@newpaltz.edu 
 
845-257-3727 
 
 https://newpaltz.webex.com/meet/scottchr"
20212907,Monitoring generated Counter ALARM at 12:32:47 pm 27-Apr-22 on lc-2ua41624yy.lecture-center.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 12:32:47 pm 27-Apr-22 on lc-2ua41624yy.lecture-center.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 12:32:47 pm 27-Apr-22
Event Time: 4:32:47 pm 27-Apr-22 UTC
Log Value: 4.820216
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20087882,Monitoring generated Counter ALARM at 5:01:34 pm 7-Apr-22 on lc-2ua41624yy.lecture-center.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 5:01:34 pm 7-Apr-22 on lc-2ua41624yy.lecture-center.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 5:01:34 pm 7-Apr-22
Event Time: 9:01:34 pm 7-Apr-22 UTC
Log Value: 4.848328
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned

 "
20816697,Connectivity error,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,David Dixon,Service Desk,None,None,"Hi, 
 


 
 
I am receiving the error message below when I attempt to open Titanium Scheduler, from home on the Campus issued laptop. It has successfully opened already a few times. I restarted twice and reconnected to VPN a few times. 
 


 
 
 

 
 
 


 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Thanks, 
 


 
 
Susan 
 
 
 

 
 Susan Arnao, Au.D., CCC-A 
 Coordinator of Audiological Services 
 Department of Communication Disorders 
 600 Hawk Drive 
 New Paltz, NY 12561 
 

 
 (845) 257-3603, Fax: (845) 257-3605 
 Virtual Office Hours by appointment 
 https://newpaltz.webex.com/meet/arnaos"
20339908,Can't Remote Into My Campus PC,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Brendan Gannon,Systems and Networking,Remote Application and Access,VPN - Virtual Private Network,"Hi,

I'm trying to remote into my laptop on campus however I keep getting the following error below:

""The trusted relationship between this workstation and the primary domain failed""

Trying to login as:

User Name: admin\lamp 
Password: Current Laptop Password

Thanks!
Peter"
20600849,update,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Brendan Gannon,Service Desk,None,None,"Hello, 
 
I would be in NewPaltz Campus on June 28 in the office of Migrant Education. I was told by someone from your office that my work computer has not been updated for a long time. I will like to take it to your office that day if it's possible. 
 
Thank you. 
 


 
 
Malvina Saavedra"
20121285,Files are invisible when saved from desktop to One Drive,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Office 365,Office 365,"When I save or ""save as"" a new document to a One Drive folder (see screenshot 1) while working on my JFT 710 HP computer, I cannot see the file at any time in the One Drive folder. However, if I take that same document again from a desktop folder and again select the same One Drive folder, it tells me that the file already exists and asks whether I want to replace it."
20031503,Isolating Issue w/AIMS 9 Portal Malfunction,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Desktop Support,Office Technology,Office Technology Requests (on Campus only),"Submitting this ticket per Ray. People who try to use the AIMS 9 parking portal (https://sunynewpaltz.aimsparking.com/) in the office, they often run into trouble uploading an attachment when on their cell phones. From a desktop or monitor, the feature works with no problem. When attempting to upload a picture on a smartphone, they are met with a ""please wait"" message that stays there (seemingly infinitely) and the image will not upload. Worked with Braden from AIMS to rule out any possible issues with the feature itself, but have not been able to locate any issues. Braden and I were both able to upload attachments from our cellphones off campus. I was unsuccessful when testing the feature in the office (I was met with the same issue described above). Bruce Locke stopped by and was unable to detect any issues related to connectivity. I am currently working with Braden to further investigate the issue."
20052217,URGENT! DEI presentation missing for Tanhena,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Office 365,Office 365,"We need to recover a shared power point document that was in share point. She shared it with President Donald Christian he accidently deleted the slides except one! It may have been shared yesterday Sunday April 3rd. Please contact Tanahena asap, she needs to present it tomorrow. X 3172"
20058938,Print a device statistic report,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Service Desk,Classroom & Lab,Classroom and Lab Technology Issues,"The contract for the scanner/copier/fax machine has expired. In order to get the contract renewed a device statistics report must first be printed to prove the device is still in working condition. The machine is asking for a ""basic security setup password."""
20071147,Problems with Network Adapter for WiFi,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Service Desk,None,None,"Hello, 
 
I was given a new PC recently and it keeps crashing when in WiFi both at home and on campus. I tried troubleshooting it and this is the prompt I received. See screenshot. Also, I cannot update drivers because it has to be done with Admin access. This is interrumpting
 class, office hours, meetings, work on Blackboard, etc. I also restarted my driver. 
 
 

 
 
 


 
 
 
 
 
 
 You can call me at 845-901-1277. I will be home tomorrow all morning til 1:30 PM when my office hours begin. 
 Thank you, 
 Ligia 
 

 
 Ligia S. Aldana 
 Associate Professor 
 Department of Languages, Literatures & Cultures 
 SUNY New Paltz 
 1 Hawk Drive, Old Main 204 
 New Paltz, NY 12561 
 (845)257-3487 
 aldanal@newpaltz.edu"
20345079,Remote Desktop,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Remote Application and Access,VPN - Virtual Private Network,I moved from JFT 320 to JFT 902. My computer is setup and working in 902 but the remote desktop is not connecting. I believe my settings are correct. I am using the split for the VPN and the computer name is: JFT-MXL9311QW3.admin.newpaltz.edu. Not currently on campus. Can be reached on my cell at 301.806.0267. This is not urgent but I would like to get it resolved in the next couple weeks. Thanks!
20273259,Shawangunk RD office,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Desktop Support,Office Technology,Office Technology Requests (on Campus only),"Hello, 
 


 
 
I hope you are doing well. I would like to request two things: 
 


 
 
 
 When I tried submitting a ticket for something, I am still registered as working in undergraduate admissions when I have moved offices to Residence Life. Could this please be changed? I am requesting a camera with a mic be put into the RD office of Shawangunk hall. 
 

 
 Thank you! 
 
 
 


 
 
 
 
 
 
 Best, 
 Fannely Valerio 
 (Pronouns: she/her) 
 Resident Director of Shawangunk Hall 
 Office of
 Residence Life 
 
 
 
 100 Hawk Dr 
 
 New
 Paltz NY 12561 
 
 845-257-5401"
20317032,Work PC,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Service Desk,None,None,"Hello 
 
I work for Migrant Education, and my working PC started the update. When was done , I need to sign in. I tried administrator, and other user as well. It did not recognize my email or password. I need help. 
 
My username is saavedrm@newpaltz.edu 
 
Thank you. 
 
Malvina Saavedra 
 
 

 
Get Outlook for Android"
20322567,Microsoft word has uninstalled itself again.,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Office 365,Office 365,"Computer insists on 2-3 minutes of verifying upon opening Word or Excel, and today Word is no longer on my computer again."
20330938,Monitoring generated Counter ALARM at 6:01:24 pm 13-May-22 on upd-dispatch.service-building.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,General,None,None,"Monitoring generated Counter ALARM at 6:01:24 pm 13-May-22 on upd-dispatch.service-building.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 6:01:24 pm 13-May-22
Event Time: 10:01:24 pm 13-May-22 UTC
Log Value: 4.626787
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20210098,My Notes accessed via email or calendar are very very very slow to load - often not loading at all,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Office 365,Office 365,My Notes accessed via email or calendar are very very very slow to load - often not loading at all
20211024,Password Reset/Unlock,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Service Desk,"Accounts, Access, & Security",Password Reset (All accounts except NP User ID),I want to create a more secure password. Thank you!
20675958,Windows License Will Expire Soon,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Networking/WiFi,Wireless Network Access,Laptop (Thinkpad) is having a Windows License Will Expire Soon alert coming up and to active Windows n the settings . . . however this is a campus license.
20681819,Monitoring generated Counter ALARM at 12:22:17 am 26-Jun-22 on upd-dispatch.service-building.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,General,None,None,"Monitoring generated Counter ALARM at 12:22:17 am 26-Jun-22 on upd-dispatch.service-building.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 12:22:17 am 26-Jun-22
Event Time: 4:22:17 am 26-Jun-22 UTC
Log Value: 4.580002
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20701130,Fw: Computer Problems-from Joe Diamond/Anthropology,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Desktop Support,None,None,"From: Joseph Diamond 
 Sent: Wednesday, June 29, 2022 9:35 AM
 To: Raymond Ransome ; Troy Ellick 
 Subject: Computer Problems-from Joe Diamond/Anthropology 
 
 Ray/Troy, 
 
Went I went to campus last week I could not get my computer to the internet. I kept getting a ""Gah"" message and tried about 30 times but to no avail. Then the ""You are not connected to the Internet"" started popping up. I also do not have access to Word/Excel,
 so I cannot work on documents. Can I make an appointment to meet with Ray next week or even this friday? I have class beginning on the 8 th of July and I really need to get this straightened out. 
 
Joe Diamond/Anthropology 
 
 
 working from home-home phone # 845-338-0091 
 Joseph E. Diamond, PhD , Associate Professor of Anthropology |
 SUNY New Paltz 
 
 
 diamondj@newpaltz.edu 
 | (845) 257-2988"
21141462,Can’t pull up files from my one drive,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"  

 
 Today I've been having issues opening files at my work computer at my desk here at Suny New Paltz. These are files located on my OneDrive. Some of the files I have been able to open eventually but others I cannot. Attached is the message I am getting. 

   

 Thank you. 

   

 Lisa Lupini 

 Mathematics 

 
   

 Get Outlook for iOS"
21319906,Laptop Request,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,General,None,None,"Hello, 

 I'm a faculty member and I was wondering if the university has any loaner laptops. I use one to work from home (grading, course prep, etc) and mine will need some repairs. I'll be traveling this weekend (while still needing to do some work) and I was wondering if there was anyway to get a loaner laptop for several days. One with a camera would be preferrable for any meetings needed from Friday to Monday. If anything is possible I'd be appreciative. 

 In kindness, 

 David         David J. Bright, PhD, MHC-LP, NCC
Assistant Professor of Counselor Education Wooster Hall 312
State University of New York at New Paltz Pronouns: He/Him/His 
   "
21469033,Re: Surplus Computer Ink,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Hi Peggy,   Please see the Request for Removal of Surplus attached here.   Many thanks, Amanda         Amanda Valentin (she/her/hers) Office Assistant Communication Studies/Digital Media and Journalism State University of New York at New Paltz Email: valentia@newpaltz.edu (845) 257-3450     From: Peggy Clark <clarkm@newpaltz.edu>
 Sent: Tuesday, September 27, 2022 9:14 AM
 To: Amanda Valentin <valentia@newpaltz.edu>; Service Desk <servicedesk@newpaltz.edu>
 Cc: Property Control <propertycontrol@newpaltz.edu>
 Subject: Re: Surplus Computer Ink   Dear Amanda, Please fill out a request for removal of surplus form and email it back to me.     Peggy Clark Receiving Dept. & Property Control SUNY New Paltz 1 Hawk Drive New Paltz, NY 12561 845-257-3331 fax 845-257-3314 Clarkm@newpaltz.edu   From: Amanda Valentin <valentia@newpaltz.edu>
 Sent: Monday, September 26, 2022 3:47 PM
 To: Service Desk <servicedesk@newpaltz.edu>
 Cc: Property Control <propertycontrol@newpaltz.edu>
 Subject: Surplus Computer Ink   Hi there,   I'm not sure if ITS or Property Control is the best contact, but our office has excess ink that has not been claimed for campus-use. Would you have use for this ink or be able to recycle it?   Best, Amanda         Amanda Valentin (she/her/hers) Office Assistant Communication Studies/Digital Media and Journalism State University of New York at New Paltz Email: valentia@newpaltz.edu (845) 257-3450  "
21509232,Monitoring generated Counter ALARM at 2:01:17 pm 7-Oct-22 on eg-2ua7462411.elting-gym.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 2:01:17 pm 7-Oct-22 on eg-2ua7462411.elting-gym.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 2:01:17 pm 7-Oct-22
Event Time: 6:01:17 pm 7-Oct-22 UTC
Log Value: 0.868821
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
21762420,Mail Services Coordinater,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Networking/WiFi,Wireless Network Access,"One of our handheld devices is not connecting to WiFi. It is looking for an ID and Password. We do not have that information. We would like to ge this handheld up and running soon.
Thanks!"
21766733,Monitoring generated Counter ALARM at 3:59:52 pm 16-Nov-22 on om-mxl211323v.old-main.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 3:59:52 pm 16-Nov-22 on om-mxl211323v.old-main.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 3:59:52 pm 16-Nov-22
Event Time: 8:59:52 pm 16-Nov-22 UTC
Log Value: 0.001231
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
21774765,Monitoring generated Counter ALARM at 3:31:09 pm 17-Nov-22 on sab-2ua80628hh.sab.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 3:31:09 pm 17-Nov-22 on sab-2ua80628hh.sab.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 3:31:09 pm 17-Nov-22
Event Time: 8:31:09 pm 17-Nov-22 UTC
Log Value: 4.523954
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
21411407,Undermount Outlets Not Working,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Service Desk,Classroom & Lab,Classroom and Lab Technology Issues,Hi! A faculty member held a meeting in the WH 360 conference room on 9/21. The faculty member noted that the black powerstrip under the table (for laptops) didn't work. 
21788025,Need OAA advisors and Vanessa Netzley to have access to Records an Registration copier and scanner,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Networking/WiFi,Wireless Network Access,"HI Raymond.......We have been in communication about the OAA having access to the Records and Registration printer and scanner.......I would like to put in on your radar because we will need to print and scan during the closure period 12/23 to 1/9 for Academic Standing......I know how busy your area is and wanted to give you enough time to complete this request.  If you have any questions, please call me at 3708.  Thank you Laurie Orr"
21578866,Printing e-mails,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Office 365,Office 365,"Good morning,

I'm writing to request assistance with a printing issue with Outlook (office desktop). Lately, when I try to print e-mails the body of the message does not appear in my preview screen, just before hitting print. Instead, I receive a mostly blank page without any content. 

Appreciate your assistance.

Thanks,

Rich Winters "
21587103,Hum 19 programming computer. Problem with noah connectivity,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,Classroom & Lab,Classroom and Lab Technology Issues,"Hum 19 computer froze yesterday while using noah and genie software, so I ended tasks in task manager. When I reopened noah, the wireless hearing aid programmer was no longer showing up as an option, and the fitting link and noahlink were not connecting to the hearing aids. I tried restarting the computer, but this did not resolve the issue.

We need this equipment to see hearing aid patients in the clinic scheduled today. Any assistance is appreciated."
21617219,Adobe,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,Office Technology,Office Technology Requests (on Campus only),  Apologies for bothering you but I'm wondering how to activat/log into Adobe via my newpaltz email account?   Mona     Mona Ali Associate Professor Department of Economics SUNY New Paltz
21646577,Monitoring generated Counter ALARM at 5:27:52 pm 28-Oct-22 on cph-mxl8491h7c.capen-hall.residence-life.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 5:27:52 pm 28-Oct-22 on cph-mxl8491h7c.capen-hall.residence-life.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 5:27:52 pm 28-Oct-22
Event Time: 9:27:52 pm 28-Oct-22 UTC
Log Value: 4.266582
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
21649156,Monitoring generated Counter ALARM at 8:58:09 pm 30-Oct-22 on sh-cqmtnk3.science-hall.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 8:58:09 pm 30-Oct-22 on sh-cqmtnk3.science-hall.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 8:58:09 pm 30-Oct-22
Event Time: 12:58:09 am 31-Oct-22 UTC
Log Value: 4.986512
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
21891461,Monitoring generated Counter ALARM at 3:31:39 pm 8-Dec-22 on vh-mxl9423tqg.vh.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 3:31:39 pm 8-Dec-22 on vh-mxl9423tqg.vh.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 3:31:39 pm 8-Dec-22
Event Time: 8:31:39 pm 8-Dec-22 UTC
Log Value: 4.641855
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
21901940,Monitoring generated Counter ALARM at 11:49:03 am 10-Dec-22 on wh-8ksj3f3.wooster-hall.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 11:49:03 am 10-Dec-22 on wh-8ksj3f3.wooster-hall.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 11:49:03 am 10-Dec-22
Event Time: 4:49:03 pm 10-Dec-22 UTC
Log Value: 4.818042
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
22148995,Activate ZoomText on Login Prompt,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Service Desk,None,None,"Nikolai will understand what I am talking about. -- Hi Nikolai, Thank you for getting my new machine setup and running. Everything is running well, but Zoomtext is not active on the login screen. It’s not a big deal, but if I type the wrong password, it is necessary. If you go to the Zoomtext interface and open the “Zoomtext” menu in the top left, then choose “Preferences” > “Program” it will open a dialogue box. Select the check box next to “Enable Zoomtext in the Windows Logon Prompt.” When I do it, it asks for a username and password. It won’t accept mine. I am assuming it needs administrator privileges for this change. Thanks, Kevin Shanley Associate Professor & Chair
 Division of Engineering Programs
 School of Science & Engineering 
 SUNY New Paltz Spring 2023 Office Hours: 
 Mondays & Fridays 11:30 AM – 2:00 PM"
22164097,Monitoring generated Counter ALARM at 8:27:39 am 24-Jan-23 on jft-mxl919258z.jft.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 8:27:39 am 24-Jan-23 on jft-mxl919258z.jft.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 8:27:39 am 24-Jan-23
Event Time: 1:27:39 pm 24-Jan-23 UTC
Log Value: 3.440528
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
22165915,Monitoring generated Counter ALARM at 10:41:42 am 24-Jan-23 on sb225-weather.service-building.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 10:41:42 am 24-Jan-23 on sb225-weather.service-building.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 10:41:42 am 24-Jan-23
Event Time: 3:41:42 pm 24-Jan-23 UTC
Log Value: 4.723117
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
22197778,Poll Everywhere,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Office 365,Office 365,"Hi!

Is it possible to use Poll Everywhere under My Add-Ins on a campus PowerPoint presentation?  I'm not seeing a way to add Poll Everywhere in Powerpoint.

Lisa"
22198786,office computer,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Service Desk,None,None,"Hello, 
 I am requesting assistance accessing the newpaltz.edu domain on my office computer (facing the windows in JFT1000. 
 I currently have this message when I try to sign in, while my computer defaults to the Admin domain: 
 ""...Can't sign you in with this credential because your domain isn't available. Make sure your device is connected to your organization's network and try again."" 
 I believe the computer is not connected to our network because I am able to connect to it on other devices. 
 Thank you for your help. I appreciate it. -Mary 
 Mary E. Christiano Instructor, Communication Department SUNY New Paltz Doctoral Candidate, UAlbany (518) 588-8424"
22209224,Apple TV not working,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Networking/WiFi,Wireless Network Access,"Hello - From 12:30-3 pm, I teach in HUM 214. For some reason, Apple TV isn't connecting (I use my laptop to display PPT on the classroom desktop). It get stuck after I enter the code. Would it be possible for one of you to come to the classroom at 12:30 to help me with this? Many thanks, Ben Junge/Anthropology"
22213188,Monitoring generated Counter ALARM at 2:42:15 pm 30-Jan-23 on csb-mxl9091gg3.csb.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 2:42:15 pm 30-Jan-23 on csb-mxl9091gg3.csb.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 2:42:15 pm 30-Jan-23
Event Time: 7:42:15 pm 30-Jan-23 UTC
Log Value: 4.802116
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
22226558,Elting Gym Room 105 Printer was serviced but can not print anything from computers,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Service Desk,Classroom & Lab,Classroom and Lab Technology Issues,"Over winter break we had the printer serviced, where it is back on without an error code registering but when we try to use it, it says offline or will not print when it is connected. Any assistance here would be greatly appreciated as the printer is shared with all of our staff."
22242836,Monitoring generated Counter ALARM at 12:43:12 pm 2-Feb-23 on vh-mxl0164v4c.vh.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 12:43:12 pm 2-Feb-23 on vh-mxl0164v4c.vh.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 12:43:12 pm 2-Feb-23
Event Time: 5:43:12 pm 2-Feb-23 UTC
Log Value: 1.074791
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
22253478,Monitoring generated Counter ALARM at 2:37:39 pm 3-Feb-23 on sub211c-bazinet.sub.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,General,None,None,"Monitoring generated Counter ALARM at 2:37:39 pm 3-Feb-23 on sub211c-bazinet.sub.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 2:37:39 pm 3-Feb-23
Event Time: 7:37:39 pm 3-Feb-23 UTC
Log Value: 4.896952
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
